Country,Strategy,Population Covered (%),Cumulative Cost ($USD Billions)
PER,LOS,43.32651649831423,0.0036
PER,LOS,45.2830181513945,0.0045
PER,LOS,49.403435476740654,0.0081
PER,LOS,50.590127575742656,0.009899999999999999
PER,LOS,52.0915009621053,0.013049999999999999
PER,LOS,52.25268668505445,0.0135
PER,LOS,56.70398210080474,0.029699999999999997
PER,LOS,57.540481469243346,0.03285
PER,LOS,60.744342027567086,0.04545
PER,LOS,61.30420455715378,0.0477
PER,LOS,62.468517345408934,0.05265
PER,LOS,63.8923625408846,0.0594
PER,LOS,64.59160112404675,0.06285
PER,LOS,65.13539976691035,0.06555
PER,LOS,66.65367631161921,0.07365
PER,LOS,67.13616635229425,0.07634999999999999
PER,LOS,68.2329120784744,0.08354999999999999
PER,LOS,68.49776493612022,0.08534999999999998
PER,LOS,69.35341184991529,0.09119999999999998
PER,LOS,70.13370660286886,0.09659999999999998
PER,LOS,70.45212473763742,0.09884999999999998
PER,LOS,73.22212364050813,0.11954999999999998
PER,LOS,74.6609997730169,0.13034999999999997
PER,LOS,75.36384988248489,0.13619999999999996
PER,LOS,75.84367779914271,0.14024999999999996
PER,LOS,75.92955313495105,0.14114999999999997
PER,LOS,77.2544060525991,0.15554999999999997
PER,LOS,78.03573755285181,0.16454999999999997
PER,LOS,78.22470658437452,0.16679999999999998
PER,LOS,78.87925490300775,0.17564999999999997
PER,LOS,81.22550138599443,0.20789999999999997
PER,LOS,82.03942017040102,0.21944999999999998
PER,LOS,82.16514381906642,0.22124999999999997
PER,LOS,82.41218209216898,0.22484999999999997
PER,LOS,82.80584605472272,0.23069999999999996
PER,LOS,83.09495424203767,0.23519999999999996
PER,LOS,83.51930668416809,0.24194999999999997
PER,LOS,83.80045128508627,0.24644999999999997
PER,LOS,84.10516005080747,0.25139999999999996
PER,LOS,84.33591037824682,0.25514999999999993
PER,LOS,84.60091893786797,0.25964999999999994
PER,LOS,84.94205816820728,0.2659499999999999
PER,LOS,85.35580009036032,0.2735999999999999
PER,LOS,85.47303608256566,0.2758499999999999
PER,LOS,85.51896816528806,0.2767499999999999
PER,LOS,85.74010674395764,0.2812499999999999
PER,LOS,85.88442728465212,0.2843999999999999
PER,LOS,86.08579171245476,0.2888999999999999
PER,LOS,86.18645493831032,0.29114999999999985
